,sentence,outlet,topic,type,group_id,num_sent,Label_bias,Label_opinion,biased_words,outliers,tokenized_sentence
255,"Such rivals as House Speaker Nancy Pelosi and Senate Majority Leader Mitch McConnell saw overstepping in the name of climate change, a blown campaign rollout to even explain all of its aspirational aspects, and, more generally, a need to slap down an unruly first-year Democratic Socialist.",alternet,environment,left,13,1,Biased,Expresses writer’s opinion,"['blown', 'Socialist', 'overstepping', 'slap', 'down', 'unruly', 'a']","{'mitch', 'mcconnell', 'rollout', 'pelosi', 'nancy', 'overstepping', 'unruly', 'speaker', 'senate', 'first-year', 'rivals', 'aspirational'}","['such', 'rivals', 'as', 'house', 'speaker', 'nancy', 'pelosi', 'and', 'senate', 'majority', 'leader', 'mitch', 'mcconnell', 'saw', 'overstepping', 'in', 'the', 'name', 'of', 'climate', 'change,', 'a', 'blown', 'campaign', 'rollout', 'to', 'even', 'explain', 'all', 'of', 'its', 'aspirational', 'aspects,', 'and,', 'more', 'generally,', 'a', 'need', 'to', 'slap', 'down', 'an', 'unruly', 'first-year', 'democratic', 'socialist.', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
256,"Oh for crying out loud. The desperation. Imagine if you got your news only from the New York Times, and how bigoted that would make you against non-liberals.",federalist,vaccines,right,13,3,Biased,Expresses writer’s opinion,"['for', 'crying', 'out', 'loud', 'desperation', 'bigoted']",{'bigoted'},"['oh', 'for', 'crying', 'out', 'loud.', 'the', 'desperation.', 'imagine', 'if', 'you', 'got', 'your', 'news', 'only', 'from', 'the', 'new', 'york', 'times,', 'and', 'how', 'bigoted', 'that', 'would', 'make', 'you', 'against', 'non-liberals.', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
257,"Thousands of asylum seekers crammed in border towns near the Texas-Mexico border awaiting U.S. immigration hearings are at risk of dying from coronavirus because of poor health access and unsafe conditions, advocates say.",usa-today,immigration,center,13,1,Biased,Entirely factual,"['crammed', 'unsafe', 'conditions', 'poor', 'health', 'access']","{'coronavirus', 'border', 'seekers', 'crammed', 'unsafe', 'hearings', 'asylum'}","['thousands', 'of', 'asylum', 'seekers', 'crammed', 'in', 'border', 'towns', 'near', 'the', 'texas-mexico', 'border', 'awaiting', 'u.s.', 'immigration', 'hearings', 'are', 'at', 'risk', 'of', 'dying', 'from', 'coronavirus', 'because', 'of', 'poor', 'health', 'access', 'and', 'unsafe', 'conditions,', 'advocates', 'say.', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
258,But even those who take steps to better their financial situation often end up stunting their opportunities in the long run thanks to the high cost of financial services. College offers a prime example.,huffpost,student-debt,left,13,1,No agreement,No agreement,"['stunting', 'high', 'cost']","{'offers', 'services.', 'example.', 'stunting'}","['but', 'even', 'those', 'who', 'take', 'steps', 'to', 'better', 'their', 'financial', 'situation', 'often', 'end', 'up', 'stunting', 'their', 'opportunities', 'in', 'the', 'long', 'run', 'thanks', 'to', 'the', 'high', 'cost', 'of', 'financial', 'services.', 'college', 'offers', 'a', 'prime', 'example.', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
259,"A firefighter was killed by a falling tree while battling the Australian wildfire crisis overnight, and the prime minister on Sunday said his government was adapting and building resilience to the fire danger posed by climate change.",usa-today,environment,center,13,1,No agreement,No agreement,"['climate', 'change']","{'adapting', 'resilience', 'firefighter', 'change.', 'sunday', 'australian', 'wildfire', 'minister'}","['a', 'firefighter', 'was', 'killed', 'by', 'a', 'falling', 'tree', 'while', 'battling', 'the', 'australian', 'wildfire', 'crisis', 'overnight,', 'and', 'the', 'prime', 'minister', 'on', 'sunday', 'said', 'his', 'government', 'was', 'adapting', 'and', 'building', 'resilience', 'to', 'the', 'fire', 'danger', 'posed', 'by', 'climate', 'change.', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
260,"Naturally, of course, right-wingers reacted in the ugliest way possible: By arguing that Thunberg’s identity — as a young person, as a person on the autism spectrum and, although they are careful not to say this directly, as a girl — inherently discredits what she has to say.",alternet,environment,left,14,1,Biased,Expresses writer’s opinion,"['right-wingers', 'ugliest', 'way', 'discredits']","{'right-wingers', 'inherently', 'reacted', 'ugliest', 'spectrum', 'autism', 'discredits'}","['naturally,', 'of', 'course,', 'right-wingers', 'reacted', 'in', 'the', 'ugliest', 'way', 'possible:', 'by', 'arguing', 'that', 'thunberg’s', 'identity', '—', 'as', 'a', 'young', 'person,', 'as', 'a', 'person', 'on', 'the', 'autism', 'spectrum', 'and,', 'although', 'they', 'are', 'careful', 'not', 'to', 'say', 'this', 'directly,', 'as', 'a', 'girl', '—', 'inherently', 'discredits', 'what', 'she', 'has', 'to', 'say.', 'PADDED', 'PADDED']"
261,"According to the Guardian, a survey of 15 British female Olympians found that most feel that allowing transgenders to compete alongside natural-born female athletes is likely unfair to the women and they want more research before new rules are made.",breitbart,sport,right,14,1,Non-biased,No agreement,['unfair'],"{'athletes', 'olympians', 'transgenders', 'natural-born', 'british'}","['according', 'to', 'the', 'guardian,', 'a', 'survey', 'of', '15', 'british', 'female', 'olympians', 'found', 'that', 'most', 'feel', 'that', 'allowing', 'transgenders', 'to', 'compete', 'alongside', 'natural-born', 'female', 'athletes', 'is', 'likely', 'unfair', 'to', 'the', 'women', 'and', 'they', 'want', 'more', 'research', 'before', 'new', 'rules', 'are', 'made.', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
262,"Rep. Liz Cheney (R-WY), the chairwoman of the House Republican Conference, added that Republicans are fighting “pure evil” on the part of those who would kill babies after being born.",breitbart,abortion,right,14,1,No agreement,No agreement,"['pure', 'evil']","{'republicans', 'republican', 'cheney', 'babies', 'chairwoman'}","['rep.', 'liz', 'cheney', '(r-wy),', 'the', 'chairwoman', 'of', 'the', 'house', 'republican', 'conference,', 'added', 'that', 'republicans', 'are', 'fighting', '“pure', 'evil”', 'on', 'the', 'part', 'of', 'those', 'who', 'would', 'kill', 'babies', 'after', 'being', 'born.', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
263,"Meanwhile, Thunberg first made headlines when her Fridays for Future campaign went global in the last few months. At a U.N. climate conference in September, she repeatedly scolded world leaders, asking, “How dare you?”",fox-news,environment,right,14,2,Non-biased,Entirely factual,['scolded'],"{'scolded', 'headlines', 'months.', 'fridays'}","['meanwhile,', 'thunberg', 'first', 'made', 'headlines', 'when', 'her', 'fridays', 'for', 'future', 'campaign', 'went', 'global', 'in', 'the', 'last', 'few', 'months.', 'at', 'a', 'u.n.', 'climate', 'conference', 'in', 'september,', 'she', 'repeatedly', 'scolded', 'world', 'leaders,', 'asking,', '“how', 'dare', 'you?”', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
264,"Trump made the announcement on Twitter hours after Governor Roy Cooper, a Democrat, rejected Republican demands for a full-fledged presidential nominating convention in Charlotte, telling organizers that planning for a scaled-down event was “a necessity” due to the coronavirus.",reuters,elections-2020,center,14,1,Non-biased,Entirely factual,['rejected'],"{'scaled-down', 'twitter', 'full-fledged', 'nominating', 'republican', 'governor', 'organizers', 'trump'}","['trump', 'made', 'the', 'announcement', 'on', 'twitter', 'hours', 'after', 'governor', 'roy', 'cooper,', 'a', 'democrat,', 'rejected', 'republican', 'demands', 'for', 'a', 'full-fledged', 'presidential', 'nominating', 'convention', 'in', 'charlotte,', 'telling', 'organizers', 'that', 'planning', 'for', 'a', 'scaled-down', 'event', 'was', '“a', 'necessity”', 'due', 'to', 'the', 'coronavirus.', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
265,"USA Today Sports published a broadside against youth tackle football, claiming that the sport is just too dangerous for children.",breitbart,sport,right,14,1,Biased,Entirely factual,"['broadside', 'dangerous']","{'children.', 'published', 'tackle', 'broadside'}","['usa', 'today', 'sports', 'published', 'a', 'broadside', 'against', 'youth', 'tackle', 'football,', 'claiming', 'that', 'the', 'sport', 'is', 'just', 'too', 'dangerous', 'for', 'children.', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
266,"After walking off following another hardcourt loss to Novak Djokovic, allowing Serbia to level the final after Roberto Bautista Agut won the opening singles for Spain, Nadal urged the men's tour and the sport's international governing body to form one major team tournament.",fox-news,sport,right,14,1,Non-biased,Entirely factual,['urged'],"{'singles', 'bautista', 'serbia', 'novak', 'hardcourt', 'roberto', 'nadal', 'tournament.'}","['after', 'walking', 'off', 'following', 'another', 'hardcourt', 'loss', 'to', 'novak', 'djokovic,', 'allowing', 'serbia', 'to', 'level', 'the', 'final', 'after', 'roberto', 'bautista', 'agut', 'won', 'the', 'opening', 'singles', 'for', 'spain,', 'nadal', 'urged', 'the', ""men's"", 'tour', 'and', 'the', ""sport's"", 'international', 'governing', 'body', 'to', 'form', 'one', 'major', 'team', 'tournament.', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
267,"The anti-vaccine crowd frequently falls back on the claim that vaccines cause autism, despite more than two dozen studies clearly showing that vaccination does not increase the incidence of autism. Nor did it make a whit of biological sense that vaccines would.",alternet,vaccines,left,14,1,Biased,Somewhat factual but also opinionated,"['falls', 'back', 'whit', 'anti-vaccine', 'sense']","{'would.', 'incidence', 'anti-vaccine', 'vaccines', 'vaccination'}","['the', 'anti-vaccine', 'crowd', 'frequently', 'falls', 'back', 'on', 'the', 'claim', 'that', 'vaccines', 'cause', 'autism,', 'despite', 'more', 'than', 'two', 'dozen', 'studies', 'clearly', 'showing', 'that', 'vaccination', 'does', 'not', 'increase', 'the', 'incidence', 'of', 'autism.', 'nor', 'did', 'it', 'make', 'a', 'whit', 'of', 'biological', 'sense', 'that', 'vaccines', 'would.', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
268," Gautney consented to this field, job, and city, so if she has an issue with compensation or cost of living, switching to a more lucrative field or cheaper place to live is a decision she should make for herself, not a decision that ought to be bailed out by unsuspecting taxpayers who played no role in the choice. ",federalist,student-debt,right,14,1,Biased,Expresses writer’s opinion,"['bailed', 'out', 'unsuspecting']","{'lucrative', 'cheaper', 'consented', 'switching', 'bailed'}","[' ', 'gautney', 'consented', 'to', 'this', 'field,', 'job,', 'and', 'city,', 'so', 'if', 'she', 'has', 'an', 'issue', 'with', 'compensation', 'or', 'cost', 'of', 'living,', 'switching', 'to', 'a', 'more', 'lucrative', 'field', 'or', 'cheaper', 'place', 'to', 'live', 'is', 'a', 'decision', 'she', 'should', 'make', 'for', 'herself,', 'not', 'a', 'decision', 'that', 'ought', 'to', 'be', 'bailed', 'out', 'by']"
269,Joe Biden appeared to suffer trouble with his teleprompter on Friday and said George Floyd was to blame for his delayed jobs plan.,breitbart,elections-2020,right,14,1,Non-biased,Entirely factual,"['suffer', 'blame']","{'friday', 'teleprompter', 'biden', 'george', 'floyd'}","['joe', 'biden', 'appeared', 'to', 'suffer', 'trouble', 'with', 'his', 'teleprompter', 'on', 'friday', 'and', 'said', 'george', 'floyd', 'was', 'to', 'blame', 'for', 'his', 'delayed', 'jobs', 'plan.', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
270,"For about five years, between 2006 and 2011, HuffPo was a hotbed bed of anti-vaccine conspiracy theorizing.",breitbart,vaccines,right,14,1,Biased,Expresses writer’s opinion,"['hotbed', 'conspiracy', 'theorizing', 'anti-vaccine']","{'huffpo', '2011,', 'conspiracy', 'hotbed', 'anti-vaccine'}","['for', 'about', 'five', 'years,', 'between', '2006', 'and', '2011,', 'huffpo', 'was', 'a', 'hotbed', 'bed', 'of', 'anti-vaccine', 'conspiracy', 'theorizing.', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
271,"U.S. Rep. Steve King, under fire for defending white nationalism and white supremacism is now endorsing President Trump’s desire to declare a national emergency to build his wall.",alternet,immigration,left,14,1,Biased,Somewhat factual but also opinionated,"['under', 'fire', 'white', 'nationalism', 'supremacism', 'defending']","{'nationalism', 'steve', 'supremacism', 'endorsing'}","['u.s.', 'rep.', 'steve', 'king,', 'under', 'fire', 'for', 'defending', 'white', 'nationalism', 'and', 'white', 'supremacism', 'is', 'now', 'endorsing', 'president', 'trump’s', 'desire', 'to', 'declare', 'a', 'national', 'emergency', 'to', 'build', 'his', 'wall.', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
272,"The case made by Geoffrey Skelley and Nathaniel Rakich was simple: Supposedly Americans strongly prefer Biden and Democrats over Trump and Republicans, and they are particularly upset with Trump and other Republicans’ attempts to reopen the country as the global Coronavirus pandemic rages.",federalist,elections-2020,right,14,1,Biased,Somewhat factual but also opinionated,"['Supposedly', 'upset', 'strongly']","{'americans', 'coronavirus', 'pandemic', 'biden', 'democrats', 'reopen', 'geoffrey', 'trump', 'nathaniel'}","['the', 'case', 'made', 'by', 'geoffrey', 'skelley', 'and', 'nathaniel', 'rakich', 'was', 'simple:', 'supposedly', 'americans', 'strongly', 'prefer', 'biden', 'and', 'democrats', 'over', 'trump', 'and', 'republicans,', 'and', 'they', 'are', 'particularly', 'upset', 'with', 'trump', 'and', 'other', 'republicans’', 'attempts', 'to', 'reopen', 'the', 'country', 'as', 'the', 'global', 'coronavirus', 'pandemic', 'rages.', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
273,Sen. Elizabeth Warren would capitalize on the federal government's current legal authority and begin canceling existing student loan debt on her hypothetical first day in office.,usa-today,student-debt,center,14,1,Non-biased,Somewhat factual but also opinionated,"['capitalize', 'hypothetical']","{'capitalize', 'elizabeth', 'canceling', 'warren', 'office.', 'hypothetical'}","['sen.', 'elizabeth', 'warren', 'would', 'capitalize', 'on', 'the', 'federal', ""government's"", 'current', 'legal', 'authority', 'and', 'begin', 'canceling', 'existing', 'student', 'loan', 'debt', 'on', 'her', 'hypothetical', 'first', 'day', 'in', 'office.', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
274,"A federal visa program allowing international students to work at firms in the United States after graduation appears to have been exploited by fake companies providing false employment verifications, according to an NBC News/NBC Bay Area investigation.",msnbc,immigration,left,14,1,Biased,Somewhat factual but also opinionated,"['exploited', 'fake', 'false']","{'exploited', 'graduation'}","['a', 'federal', 'visa', 'program', 'allowing', 'international', 'students', 'to', 'work', 'at', 'firms', 'in', 'the', 'united', 'states', 'after', 'graduation', 'appears', 'to', 'have', 'been', 'exploited', 'by', 'fake', 'companies', 'providing', 'false', 'employment', 'verifications,', 'according', 'to', 'an', 'nbc', 'news/nbc', 'bay', 'area', 'investigation.', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
275,"But COVID-19 is shaking her views. The woman who would identify herself only as Stephanie, citing a fear of reprisals from committed anti-vaxxers, says she is now 50:50 on taking a vaccine should one be discovered for the respiratory disease caused by the new coronavirus.",reuters,vaccines,center,14,2,No agreement,Somewhat factual but also opinionated,"['fear', 'anti-vaxxers', 'shaking']","{'respiratory', 'vaccine', 'citing', 'shaking', 'reprisals', 'views.'}","['but', 'covid-19', 'is', 'shaking', 'her', 'views.', 'the', 'woman', 'who', 'would', 'identify', 'herself', 'only', 'as', 'stephanie,', 'citing', 'a', 'fear', 'of', 'reprisals', 'from', 'committed', 'anti-vaxxers,', 'says', 'she', 'is', 'now', '50:50', 'on', 'taking', 'a', 'vaccine', 'should', 'one', 'be', 'discovered', 'for', 'the', 'respiratory', 'disease', 'caused', 'by', 'the', 'new', 'coronavirus.', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
276,"Democrats this week approved legislation to require background checks for essentially all sales and transfers of firearms -- but rejected GOP-led efforts to amend the legislation to alert law enforcement authorities when gun buyers, including illegals, fail those background checks.",fox-news,immigration,right,14,1,Non-biased,Entirely factual,['illegals'],"{'alert', 'firearms', 'amend', 'democrats', 'transfers'}","['democrats', 'this', 'week', 'approved', 'legislation', 'to', 'require', 'background', 'checks', 'for', 'essentially', 'all', 'sales', 'and', 'transfers', 'of', 'firearms', '--', 'but', 'rejected', 'gop-led', 'efforts', 'to', 'amend', 'the', 'legislation', 'to', 'alert', 'law', 'enforcement', 'authorities', 'when', 'gun', 'buyers,', 'including', 'illegals,', 'fail', 'those', 'background', 'checks.', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
277,"The picture that emerges is of a system of staggering complexity, riddled with obstacles and cracks, that prioritizes babies over mothers, thwarts women at every turn, frustrates doctors and midwives, and incentivizes substandard care.",alternet,abortion,left,14,1,Biased,Expresses writer’s opinion,"['staggering', 'complexity', 'thwarts', 'women', 'prioritizes', 'babies', 'frustrates', 'riddled', 'incentivizes', 'obstacles', 'substandard']","{'emerges', 'frustrates', 'staggering', 'prioritizes', 'riddled', 'substandard', 'thwarts', 'incentivizes'}","['the', 'picture', 'that', 'emerges', 'is', 'of', 'a', 'system', 'of', 'staggering', 'complexity,', 'riddled', 'with', 'obstacles', 'and', 'cracks,', 'that', 'prioritizes', 'babies', 'over', 'mothers,', 'thwarts', 'women', 'at', 'every', 'turn,', 'frustrates', 'doctors', 'and', 'midwives,', 'and', 'incentivizes', 'substandard', 'care.', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
278,"Mnuchin aroused controversy last week after he told reporters at the World Economic Forum in Davos, Switzerland, that he did not consider the outspoken Thunberg to be a legitimate critic of fossil fuel investments.",alternet,environment,left,14,1,No agreement,Somewhat factual but also opinionated,"['aroused', 'controversy', 'outspoken', 'legitimate']","{'aroused', 'critic', 'forum', 'outspoken', 'fossil'}","['mnuchin', 'aroused', 'controversy', 'last', 'week', 'after', 'he', 'told', 'reporters', 'at', 'the', 'world', 'economic', 'forum', 'in', 'davos,', 'switzerland,', 'that', 'he', 'did', 'not', 'consider', 'the', 'outspoken', 'thunberg', 'to', 'be', 'a', 'legitimate', 'critic', 'of', 'fossil', 'fuel', 'investments.', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
279,"In the spring, the Trump administration’s Department of Health and Human Services unveiled a new policy designed to silence taxpayer-funded family planning clinics, preventing them from letting patients know about their abortion rights.",msnbc,abortion,left,14,1,Biased,Somewhat factual but also opinionated,"['silence', 'preventing']","{'taxpayer-funded', 'unveiled', 'rights.', 'trump'}","['in', 'the', 'spring,', 'the', 'trump', 'administration’s', 'department', 'of', 'health', 'and', 'human', 'services', 'unveiled', 'a', 'new', 'policy', 'designed', 'to', 'silence', 'taxpayer-funded', 'family', 'planning', 'clinics,', 'preventing', 'them', 'from', 'letting', 'patients', 'know', 'about', 'their', 'abortion', 'rights.', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
280,"While health experts say a vaccine to prevent infection is needed to return life to normal, the survey points to a potential trust issue for the Trump administration already under fire for its often contradictory safety guidance during the pandemic.",reuters,vaccines,center,15,1,Biased,Entirely factual,"['contradictory', 'safety', 'guidance', 'under', 'fire']","{'contradictory', 'vaccine', 'trump', 'infection'}","['while', 'health', 'experts', 'say', 'a', 'vaccine', 'to', 'prevent', 'infection', 'is', 'needed', 'to', 'return', 'life', 'to', 'normal,', 'the', 'survey', 'points', 'to', 'a', 'potential', 'trust', 'issue', 'for', 'the', 'trump', 'administration', 'already', 'under', 'fire', 'for', 'its', 'often', 'contradictory', 'safety', 'guidance', 'during', 'the', 'pandemic.', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
281,"The administration has stonewalled Congress during the impeachment proceedings and other investigations, but the American public overwhelmingly wants the Trump administration to comply with lawmakers.",alternet,student-debt,left,15,1,Biased,Somewhat factual but also opinionated,"['overwhelmingly', 'stonewalled']","{'impeachment', 'congress', 'american', 'stonewalled', 'overwhelmingly', 'comply', 'proceedings', 'trump'}","['the', 'administration', 'has', 'stonewalled', 'congress', 'during', 'the', 'impeachment', 'proceedings', 'and', 'other', 'investigations,', 'but', 'the', 'american', 'public', 'overwhelmingly', 'wants', 'the', 'trump', 'administration', 'to', 'comply', 'with', 'lawmakers.', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
282,"In his failed bid for the Democrat nomination for 2020, Beto O’Rourke said churches that oppose same-sex marriage should lose their tax-exempt status.  In other words, toe the non-Biblical party line or else!",breitbart,elections-2020,right,15,1,Biased,No agreement,"['failed', 'or', 'else']","{'status.', 'non-biblical', 'nomination', 'same-sex', 'democrat', 'tax-exempt'}","['in', 'his', 'failed', 'bid', 'for', 'the', 'democrat', 'nomination', 'for', '2020,', 'beto', 'o’rourke', 'said', 'churches', 'that', 'oppose', 'same-sex', 'marriage', 'should', 'lose', 'their', 'tax-exempt', 'status.', ' ', 'in', 'other', 'words,', 'toe', 'the', 'non-biblical', 'party', 'line', 'or', 'else!', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
283,"Earlier in the event, Biden vowed as president to hold energy giants liable for global warming and made a pledge to even jail executives.",breitbart,environment,right,15,1,Non-biased,Entirely factual,[],"{'vowed', 'biden', 'warming', 'liable', 'giants'}","['earlier', 'in', 'the', 'event,', 'biden', 'vowed', 'as', 'president', 'to', 'hold', 'energy', 'giants', 'liable', 'for', 'global', 'warming', 'and', 'made', 'a', 'pledge', 'to', 'even', 'jail', 'executives.', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
284,Pelosi made similar comments claiming that President Trump’s possible re-election threatens the world as House Democrats readied two articles of impeachment against the president.,breitbart,elections-2020,right,15,1,No agreement,Entirely factual,['threatens'],"{'impeachment', 're-election', 'comments', 'president.', 'threatens', 'pelosi', 'democrats', 'articles', 'readied'}","['pelosi', 'made', 'similar', 'comments', 'claiming', 'that', 'president', 'trump’s', 'possible', 're-election', 'threatens', 'the', 'world', 'as', 'house', 'democrats', 'readied', 'two', 'articles', 'of', 'impeachment', 'against', 'the', 'president.', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
285,"Michael Mann, arguably the world’s no. 1 climate alarmist, goes on to make proclamations that only a publication as ideologically compromised as the Guardian would think to publish.",breitbart,environment,right,15,1,Biased,Expresses writer’s opinion,"['arguably', 'compromised', 'climate', 'alarmist', 'ideologically']","{'publication', 'guardian', 'proclamations', 'ideologically', 'michael'}","['michael', 'mann,', 'arguably', 'the', 'world’s', 'no.', '1', 'climate', 'alarmist,', 'goes', 'on', 'to', 'make', 'proclamations', 'that', 'only', 'a', 'publication', 'as', 'ideologically', 'compromised', 'as', 'the', 'guardian', 'would', 'think', 'to', 'publish.', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED', 'PADDED']"
